Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 1426 hasn't lived for 625 cycles (CTD 586)
Process 1425 hasn't lived for 625 cycles (CTD 586)
Process 1424 hasn't lived for 625 cycles (CTD 586)
Process 1423 hasn't lived for 625 cycles (CTD 586)
Process 1421 hasn't lived for 645 cycles (CTD 586)
Process 1420 hasn't lived for 645 cycles (CTD 586)
Process 1419 hasn't lived for 645 cycles (CTD 586)
Process 1418 hasn't lived for 645 cycles (CTD 586)
Process 1417 hasn't lived for 645 cycles (CTD 586)
Process 1416 hasn't lived for 645 cycles (CTD 586)
Process 1415 hasn't lived for 645 cycles (CTD 586)
Process 1414 hasn't lived for 645 cycles (CTD 586)
Process 1413 hasn't lived for 645 cycles (CTD 586)
Process 1412 hasn't lived for 645 cycles (CTD 586)
Process 1411 hasn't lived for 645 cycles (CTD 586)
Process 1410 hasn't lived for 645 cycles (CTD 586)
Process 1407 hasn't lived for 840 cycles (CTD 586)
Process 1406 hasn't lived for 845 cycles (CTD 586)
Process 1405 hasn't lived for 850 cycles (CTD 586)
Process 1404 hasn't lived for 855 cycles (CTD 586)
Process 1382 hasn't lived for 1210 cycles (CTD 586)
Process 1365 hasn't lived for 1130 cycles (CTD 586)
Process 1312 hasn't lived for 605 cycles (CTD 586)
Process 1291 hasn't lived for 625 cycles (CTD 586)
Process 1288 hasn't lived for 645 cycles (CTD 586)
Process 1229 hasn't lived for 1205 cycles (CTD 586)
Process 1213 hasn't lived for 1125 cycles (CTD 586)
Process 1152 hasn't lived for 625 cycles (CTD 586)
Process 1063 hasn't lived for 1140 cycles (CTD 586)
Process 951 hasn't lived for 1195 cycles (CTD 586)
Process 937 hasn't lived for 1155 cycles (CTD 586)
Process 1466 hasn't lived for 542 cycles (CTD 486)
Process 1022 hasn't lived for 536 cycles (CTD 486)
Process 1356 hasn't lived for 252 cycles (CTD 236)
Process 1266 hasn't lived for 262 cycles (CTD 236)
Process 1130 hasn't lived for 272 cycles (CTD 236)
Process 1092 hasn't lived for 242 cycles (CTD 236)
Process 1053 hasn't lived for 266 cycles (CTD 236)
Process 986 hasn't lived for 236 cycles (CTD 236)
Process 922 hasn't lived for 261 cycles (CTD 236)
Process 905 hasn't lived for 262 cycles (CTD 236)
Process 874 hasn't lived for 246 cycles (CTD 236)
Process 854 hasn't lived for 271 cycles (CTD 236)
Process 847 hasn't lived for 272 cycles (CTD 236)
Process 835 hasn't lived for 247 cycles (CTD 236)
Process 831 hasn't lived for 256 cycles (CTD 236)
Process 796 hasn't lived for 256 cycles (CTD 236)
Process 756 hasn't lived for 241 cycles (CTD 236)
Process 740 hasn't lived for 266 cycles (CTD 236)
Process 720 hasn't lived for 251 cycles (CTD 236)
Process 709 hasn't lived for 252 cycles (CTD 236)
Process 693 hasn't lived for 251 cycles (CTD 236)
Process 687 hasn't lived for 236 cycles (CTD 236)
Process 642 hasn't lived for 236 cycles (CTD 236)
Process 637 hasn't lived for 261 cycles (CTD 236)
Process 636 hasn't lived for 246 cycles (CTD 236)
Process 616 hasn't lived for 246 cycles (CTD 236)
Process 572 hasn't lived for 271 cycles (CTD 236)
Process 555 hasn't lived for 272 cycles (CTD 236)
Process 543 hasn't lived for 241 cycles (CTD 236)
Process 538 hasn't lived for 242 cycles (CTD 236)
Process 528 hasn't lived for 241 cycles (CTD 236)
Process 514 hasn't lived for 266 cycles (CTD 236)
Process 479 hasn't lived for 266 cycles (CTD 236)
Process 458 hasn't lived for 236 cycles (CTD 236)
Process 433 hasn't lived for 261 cycles (CTD 236)
Process 422 hasn't lived for 262 cycles (CTD 236)
Process 406 hasn't lived for 261 cycles (CTD 236)
Process 400 hasn't lived for 246 cycles (CTD 236)
Process 380 hasn't lived for 271 cycles (CTD 236)
Process 379 hasn't lived for 256 cycles (CTD 236)
Process 359 hasn't lived for 256 cycles (CTD 236)
Process 331 hasn't lived for 241 cycles (CTD 236)
Process 316 hasn't lived for 242 cycles (CTD 236)
Process 313 hasn't lived for 251 cycles (CTD 236)
Process 308 hasn't lived for 252 cycles (CTD 236)
Process 298 hasn't lived for 251 cycles (CTD 236)
